candidate,pack,size_mb,pack_size_bytes,declared_rank,effective_rank,rank_slack,perplexity,ppl_delta_pct,token_accuracy,accuracy_gain_vs_base,max_logit_diff,eval_time_s,tokens_per_sec,peak_memory_gb
base,,0.0,0,0,0,0,15.431556163227887,0.0,0.6154655119084441,0.0,0.0,199.76657891273499,80.9194415201025,13.720472306013107
hetero_r32_init8_min4_map_600,fault-codes-gemma4-it-answer-hetero-r32-init8-min4-full2700-map-600,23.732521057128906,24885352,1984,1984,0,5.940571307937086,-61.50374437224308,0.674791215589236,0.05932570368079193,29.6875,210.6717779636383,76.7307332583962,14.074041355401278
fixed_r32_600,fault-codes-gemma4-it-answer-r32-full2700-600,54.162506103515625,56793504,4352,4352,0,5.562244590948201,-63.9553876996374,0.6802350757810084,0.06476956387256427,29.4375,210.33780121803284,76.85256718664476,14.105726230889559
fixed_r16_600,fault-codes-gemma4-it-answer-r16-full2700-600,27.09990692138672,28416312,2176,2176,0,8.567679917612262,-44.47948199787958,0.6515310856789359,0.0360655737704918,24.3125,210.3037130832672,76.8650242214205,14.075666416436434
